GW150914-v3,1126259462,35.6,30.6,440,-0.01,0.09
GW151012-v3,1128678900,23.2,13.6,1080,0.05,0.21
GW151226-v2,1135136351,13.7,7.7,450,0.18,0.09
GW170104-v2,1167559937,30.8,20,990,-0.04,0.2
GW170608-v3,1180922495,11,7.6,320,0.03,0.07
GW170729-v1,1185389807,50.2,34,2840,0.37,0.49
GW170809-v1,1186302520,35,23.8,1030,0.08,0.2
GW170814-v3,1186741862,30.6,25.2,600,0.07,0.12
GW170817-v3,1187008882,1.46,1.27,40,0,0.01
GW170818-v1,1187058327,35.4,26.7,1060,-0.09,0.21
GW170823-v1,1187529257,39.5,29,1940,0.09,0.35
GW190408_181802-v1,1238782700,24.5,18.3,1580,-0.03,0.3
GW190412-v3,1239082262,30,8.3,740,0.25,0.15
GW190413_052954-v1,1239168613,33.4,23.4,4100,0.01,0.66
GW190413_134308-v1,1239198207,45.4,30.9,5150,-0.01,0.8
GW190421_213856-v1,1239917954,40.6,31.4,3150,-0.05,0.53
GW190424_180648-v1,1240164426,39.5,31,2550,0.15,0.45
GW190425-v2,1240215503,2,1.4,160,0.06,0.03
GW190426_152155-v1,1240327333,5.7,1.5,380,-0.03,0.08
GW190503_185404-v1,1240944862,42.9,28.5,1520,-0.02,0.29
GW190512_180714-v1,1241719652,23,12.5,1490,0.03,0.28
GW190513_205428-v1,1241816087,35.3,18.1,2160,0.12,0.39
GW190514_065416-v1,1241852075,36.9,27.5,4930,-0.16,0.77
GW190517_055101-v1,1242107480,36.4,24.8,2110,0.53,0.38
GW190519_153544-v1,1242315362,64.5,39.9,2850,0.33,0.49
GW190521-v3,1242442967,91.4,66.8,4530,0.06,0.72
GW190521_074359-v1,1242459858,42.1,32.7,1280,0.09,0.25
GW190527_092055-v1,1242984074,36.2,22.8,3100,0.13,0.53
GW190602_175927-v1,1243533585,67.2,47.4,2990,0.1,0.51
GW190620_030421-v1,1245035079,55.4,35,3160,0.34,0.54
GW190630_185205-v1,1245955943,35,23.6,930,0.1,0.19
GW190701_203306-v1,1246048405,53.6,40.8,2140,-0.06,0.38
GW190706_222641-v1,1246487219,64,38.5,5070,0.32,0.79
GW190707_093326-v1,1246527224,11.5,8.4,800,-0.05,0.16
GW190708_232457-v1,1246663515,17.5,13.1,900,0.02,0.18
GW190719_215514-v1,1247608533,35.2,20.2,4610,0.35,0.73
GW190720_000836-v1,1247616535,13.3,7.8,810,0.18,0.16
GW190727_060333-v1,1248242632,37.2,28.8,3600,0.12,0.6
GW190728_064510-v1,1248331529,12.2,8.1,890,0.12,0.18
GW190731_140936-v1,1248617395,39.3,28,3970,0.08,0.65
GW190803_022701-v1,1248834440,36.1,26.7,3690,-0.01,0.61
GW190814-v2,1249852257,23.2,2.59,240,0,0.05
GW190828_063405-v1,1251009264,31.8,25.9,2220,0.19,0.4
GW190828_065509-v1,1251010528,23.8,10.2,1660,0.08,0.31
GW190909_114149-v1,1252064528,43.2,27.6,4770,-0.03,0.75
GW190910_112807-v1,1252150105,43.5,35.1,1570,0.02,0.29
GW190915_235702-v1,1252627041,34.9,24.4,1700,0.03,0.32
GW190924_021846-v1,1253326745,8.8,5,570,0.03,0.12
GW190929_012149-v1,1253755328,64.7,25.7,3680,0.03,0.61
GW190930_133541-v1,1253885759,12.3,7.8,780,0.14,0.16
GW191103_012549-v1,1256779568,11.8,7.9,990,0.21,0.2
GW191105_143521-v1,1256999740,10.7,7.7,1150,-0.02,0.23
GW191109_010717-v1,1257296855,65,47,1290,-0.29,0.25
GW191113_071753-v1,1257664692,29,5.9,1370,0,0.26
GW191126_115259-v1,1258804398,12.1,8.3,1620,0.21,0.3
GW191127_050227-v1,1258866166,53,24,3400,0.18,0.57
